"photo_id","file_name","file_path","source_file","latitude","longitude","elevation","bearing","horizontal_accuracy","taken_local","taken_offset","taken_gps_utc","orientation","source_width","source_height"
"IMG_3481_1d6a6b84","IMG_3481_1d6a6b84.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3481_1d6a6b84.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3481.jpeg","38.8927722222222","-78.1717388888889","254.7171373","355.3879089","4.748651528","2026-05-30T06:25:14","-04:00","2026-05-30T10:25:13","1","3024","4032"
"IMG_3839_7b7f5817","IMG_3839_7b7f5817.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3839_7b7f5817.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3839.jpeg","38.8927166666667","-78.1717388888889","266.0768278","14.91314985","4.748651516","2026-07-18T09:04:00","-04:00","2026-07-18T13:03:59","1","3024","4032"
"IMG_3730_2cc62f83","IMG_3730_2cc62f83.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3730_2cc62f83.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3730.jpeg","38.8912666666667","-78.1601194444444","327.4446033","270.2683716","4.748651528","2026-07-01T11:12:06","-04:00","2026-07-01T15:12:04","1","3024","4032"
"IMG_3659_207232f5","IMG_3659_207232f5.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3659_207232f5.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3659.jpeg","38.9935944444444","-76.9987944444444","64.25036788","45.06134032","8.513241365","2026-06-25T18:08:37","-04:00","2026-06-25T22:08:36","1","3024","4032"
"IMG_3435_648a6e24","IMG_3435_648a6e24.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3435_648a6e24.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3435.jpeg","38.8951111111111","-78.1642305555556","357.0224495","211.8435059","4.853644038","2026-05-20T11:05:52","-04:00","2026-05-20T15:05:51","1","4032","3024"
"IMG_3490_7f196184","IMG_3490_7f196184.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3490_7f196184.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3490.jpeg","38.8978583333333","-78.1508111111111","290.2142354","298.8806763","3.464128373","2026-05-30T14:29:50","-04:00","2026-05-30T18:29:50","1","3024","4032"
"IMG_3652_ec22952c","IMG_3652_ec22952c.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3652_ec22952c.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3652.jpeg","38.8913222222222","-78.1601194444444","326.2240061","299.4998779","40.84011264","2026-06-20T11:03:33","-04:00","2026-06-20T15:03:32","1","3024","4032"
"IMG_3828_a8d6e9a6","IMG_3828_a8d6e9a6.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3828_a8d6e9a6.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3828.jpeg","38.8964833333333","-78.166175","339.2368334","235.5689238","4.748651527","2026-07-16T08:51:57","-04:00","2026-07-16T12:51:56","1","3024","4032"
"IMG_3691_4e1ce454","IMG_3691_4e1ce454.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3691_4e1ce454.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3691.jpeg","38.8977916666667","-78.1526555555556","296.2313489","49.90515901","4.748651528","2026-06-27T12:31:59","-04:00","2026-06-27T16:31:58","1","3024","4032"
"IMG_5591_1b2b7bb7","IMG_5591_1b2b7bb7.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_5591_1b2b7bb7.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_5591.jpeg","","","","","","2026-05-31T17:26:17","-04:00","","1","3024","4032"
